TABLE;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
BR-EMSmt v.2021;7629875,8753409088;13363785,2915895693;16428711,874742964;14217875,7921419907;13665539,9171123076;15799381,2917340416;8810554,0831642970;20140879,9169230610;25578461,750097241;22211784,416510060;27263783,291921027;30670421,957611308;30348474,916426461;21033211,874933273
MIDWESTmt;605041,7500000000;984564,2083333334;1213255,041666667;1075821,1250000000;979670,2500000000;1114566,8750000000;616868,7500000000;1512634,1666666667;1958373,000000000;1699108,333333333;2058217,500000000;2317683,416666667;2246333,375000000;1715780,541666667
NORTHmt;298775,6666666667;397391,3750000000;425126,708333333;384081,7083333333;502285,6250000000;629484,5416666666;335522,1666666667;750958,7500000000;963051,458333333;852678,958333333;1073769,166666667;1174782,250000000;1252973,000000000;789439,916666667
NORTHEASTmt;1192085,2083333333;1821508,5833333333;2269851,416666667;1964325,0000000000;2237623,9166666665;2737260,4583333335;1378156,6250000000;3326638,9583333335;4025721,250000000;3526689,250000000;4570814,541666667;5210635,500000000;5011199,583333333;3233756,916666667
SOUTHmt;1768470,0000000000;2585993,7916666665;2883394,083333333;2491474,6250000000;2656075,8333333335;3116249,7083333335;1872775,5416666667;3358172,0833333335;4503849,875000000;3922881,875000000;5248479,000000000;5739357,208333333;6109617,208333333;4906862,083333333
SOUTHEASTmt;3735625,8333333335;7523991,4583333330;9584973,541666666;8267253,0000000000;7246691,4166666670;8157732,4583333330;4578954,9166666670;11146607,0833333340;14068419,666666666;12140751,875000000;14246454,500000000;16136523,250000000;15622118,541666666;10310079,125000000
BR-EMSsb v.2021;2365139,7083333335;2566982,7916666665;2636331,791666667;2683975,2916666665;3043390,3333333335;2877923,6250000000;3175276,3750000000;2965468,3333333335;4727634,041666667;4281599,708333333;4781976,125000000;5783973,208333333;6928989,125000000;7193654,333333333
MIDWESTsb;135985,7500000000;148577,9583333333;154448,916666667;160858,8333333333;183758,3750000000;171744,9583333333;206839,9166666667;202104,3750000000;290798,541666667;265537,583333333;286762,583333333;343547,875000000;422834,416666667;439266,458333333
NORTHsb;61222,6666666667;69843,0416666667;76034,750000000;79619,1666666667;88042,4583333333;83381,4583333333;84992,2083333333;97242,2916666667;136723,833333333;130503,833333333;137837,208333333;169260,291666667;218190,916666667;227270,500000000
NORTHEASTsb;282692,2916666667;318444,7916666667;345151,958333333;363350,2083333333;402431,4583333333;369870,2916666667;399579,8333333333;423015,7083333333;602928,250000000;550284,541666667;610728,041666667;762675,833333333;938720,500000000;997850,416666667
SOUTHsb;434762,2083333333;480152,8333333333;494718,708333333;521293,1666666667;587555,7083333334;539593,1250000000;607841,0000000000;578619,0833333334;821703,375000000;710101,750000000;763042,291666667;937847,458333333;1130113,750000000;1163287,791666667
SOUTHEASTsb;1440719,4166666667;1536534,2500000000;1558509,291666667;1551035,6250000000;1770898,2500000000;1707303,8333333333;1868546,1666666667;1655869,0833333333;2860454,250000000;2615221,208333333;2968362,458333333;3552261,833333333;4192706,625000000;4341765,208333333
