"TABLE" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017"
"BR-EMSmt v.2021" 7629875.87534091 13363785.2915896 16428711.874743 14217875.792142 13665539.9171123 15799381.291734 8810554.0831643 20140879.9169231 25578461.7500972 22211784.4165101 27263783.291921 30670421.9576113 30348474.9164265 21033211.8749333
"MIDWESTmt" 605041.75 984564.208333333 1213255.04166667 1075821.125 979670.25 1114566.875 616868.75 1512634.16666667 1958373 1699108.33333333 2058217.5 2317683.41666667 2246333.375 1715780.54166667
"NORTHmt" 298775.666666667 397391.375 425126.708333333 384081.708333333 502285.625 629484.541666667 335522.166666667 750958.75 963051.458333333 852678.958333333 1073769.16666667 1174782.25 1252973 789439.916666667
"NORTHEASTmt" 1192085.20833333 1821508.58333333 2269851.41666667 1964325 2237623.91666667 2737260.45833333 1378156.625 3326638.95833333 4025721.25 3526689.25 4570814.54166667 5210635.5 5011199.58333333 3233756.91666667
"SOUTHmt" 1768470 2585993.79166667 2883394.08333333 2491474.625 2656075.83333333 3116249.70833333 1872775.54166667 3358172.08333333 4503849.875 3922881.875 5248479 5739357.20833333 6109617.20833333 4906862.08333333
"SOUTHEASTmt" 3735625.83333333 7523991.45833333 9584973.54166667 8267253 7246691.41666667 8157732.45833333 4578954.91666667 11146607.0833333 14068419.6666667 12140751.875 14246454.5 16136523.25 15622118.5416667 10310079.125
"BR-EMSsb v.2021" 2365139.70833333 2566982.79166667 2636331.79166667 2683975.29166667 3043390.33333333 2877923.625 3175276.375 2965468.33333333 4727634.04166667 4281599.70833333 4781976.125 5783973.20833333 6928989.125 7193654.33333333
"MIDWESTsb" 135985.75 148577.958333333 154448.916666667 160858.833333333 183758.375 171744.958333333 206839.916666667 202104.375 290798.541666667 265537.583333333 286762.583333333 343547.875 422834.416666667 439266.458333333
"NORTHsb" 61222.6666666667 69843.0416666667 76034.75 79619.1666666667 88042.4583333333 83381.4583333333 84992.2083333333 97242.2916666667 136723.833333333 130503.833333333 137837.208333333 169260.291666667 218190.916666667 227270.5
"NORTHEASTsb" 282692.291666667 318444.791666667 345151.958333333 363350.208333333 402431.458333333 369870.291666667 399579.833333333 423015.708333333 602928.25 550284.541666667 610728.041666667 762675.833333333 938720.5 997850.416666667
"SOUTHsb" 434762.208333333 480152.833333333 494718.708333333 521293.166666667 587555.708333333 539593.125 607841 578619.083333333 821703.375 710101.75 763042.291666667 937847.458333333 1130113.75 1163287.79166667
"SOUTHEASTsb" 1440719.41666667 1536534.25 1558509.29166667 1551035.625 1770898.25 1707303.83333333 1868546.16666667 1655869.08333333 2860454.25 2615221.20833333 2968362.45833333 3552261.83333333 4192706.625 4341765.20833333
